experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	ATP6V0C	6959	1	C01	CLEC17A	70810	3AT	2	0	4	NULL	19474
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	ATP6V0C	6959	1	D01	MSR1	14311	3AT	2	0	3	NULL	16190
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	ATP6V0C	6959	1	E01	MCEMP1	71885	3AT	2	0	4	NULL	16904
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	ATP6V0C	6959	1	F01	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	HINT1	1841	1	G01	CPSF7	2549	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	HINT1	1841	1	H01	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	SH2D1A	13022	1	A02	LHX3	100016058	3AT	2	0	3	NULL	7036
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	SH2D1A	13022	1	B02	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	TTR	8999	1	C02	ATF5	3490	3AT	2	0	4	NULL	4236
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	TTR	8999	1	D02	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	E02	TBC1D1	10585	3AT	2	0	4	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	F02	CAMTA2	9711	3AT	2	0	4	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	G02	IQCE	14968	3AT	2	0	4	NULL	17351
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	H02	C11orf65	2162	3AT	2	0	4	NULL	17761
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	A03	POC5	52781	3AT	2	0	3	NULL	10846
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	B03	IQCG	100066775	3AT	2	0	3	NULL	11893
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM2	1	1	C03	emptyAD	0	3AT	2	0	0	NULL	3
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	D03	TBC1D1	10585	3AT	2	0	4	NULL	17384
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	E03	CAMTA2	9711	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	F03	IQCE	14968	3AT	2	0	3	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	G03	C11orf65	2162	3AT	2	0	4	NULL	12692
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	H03	POC5	52781	3AT	2	0	2	NULL	222
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	A04	IQCG	100066775	3AT	2	0	1	NULL	1297
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CALM3	3484	1	B04	emptyAD	0	3AT	2	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PMP22	7323	1	C04	EDA	54326	3AT	2	0	3	NULL	10502
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PMP22	7323	1	D04	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PPIL1	3755	1	E04	TCF4	56644	3AT	2	0	2	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PPIL1	3755	1	F04	COL17A1	100068264	3AT	2	0	4	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PPIL1	3755	1	G04	N4BP2L2	2958	3AT	2	0	2	NULL	9518
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PPIL1	3755	1	H04	KPRP	100016119	3AT	2	0	3	NULL	16430
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PPIL1	3755	1	A05	SNW1	52879	3AT	2	0	4	NULL	9161
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	PPIL1	3755	1	B05	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	TCAP	6345	1	C05	IKZF3	10016	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	TCAP	6345	1	D05	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	VHL	13320	1	E05	HSF2BP	100070143	3AT	2	0	4	NULL	11038
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	VHL	13320	1	F05	emptyAD	0	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CRYAB	5585	1	G05	FP236240.1	13813	3AT	2	0	4	NULL	9254
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	CRYAB	5585	1	H05	emptyAD	0	3AT	2	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	FGF12	1161	1	A06	STAC3	4447	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	FGF12	1161	1	B06	RNF151	56094	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	FGF12	1161	1	C06	DACH1	6254	3AT	2	0	0	NULL	0
