experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CRYBB1	10165	1	D11	AP1B1	100000476	3AT	1	3	12949	10862
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CRYBB1	10165	1	E11	empty-AD	0	3AT	1	0	63	29
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NFU1	53798	1	F11	COIL	6448	3AT	1	3	18777	15554
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NFU1	53798	1	G11	TFIP11	5894	3AT	1	4	17926	15009
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NFU1	53798	1	H11	empty-AD	0	3AT	1	3	1589	1096
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	KCTD1	14221	1	A12	KCTD1	14221	3AT	1	4	9067	7722
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	KCTD1	14221	1	B12	empty-AD	0	3AT	1	0	59	13
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PNPO	4515	1	C12	AGTRAP	7845	3AT	1	3	11	0
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PNPO	4515	1	D12	empty-AD	0	3AT	1	0	56	35
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	XPA	7662	1	E12	PRDM16	100068259	3AT	1	3	22	3
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	XPA	7662	1	F12	NDEL1	1734	3AT	1	2	7886	6616
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	ATP6V0C	6959	1	A01	MSR1	14311	3AT	2	3	16290	14713
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	ATP6V0C	6959	1	B01	MCEMP1	71885	3AT	2	4	14270	12761
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	ATP6V0C	6959	1	C01	empty-AD	0	3AT	2	0	244	187
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	HINT1	1841	1	D01	CPSF7	2549	3AT	2	0	115	73
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	HINT1	1841	1	E01	empty-AD	0	3AT	2	0	339	275
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	F01	TBC1D1	10585	3AT	2	4	29743	26343
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	G01	CAMTA2	9711	3AT	2	4	33894	30005
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	H01	IQCE	14968	3AT	2	0	24	3
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	A02	C11orf65	2162	3AT	2	3	30234	26388
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	B02	POC5	52781	3AT	2	3	23973	21185
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	C02	IQCG	100066775	3AT	2	3	17	0
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CALM2	1	1	D02	empty-AD	0	3AT	2	0	46	28
